# 	r			Protein
0.000000000000000000e+00 1.205520039999963250e+06
1.052220865598092914e+01 9.552020589996084571e+06
1.753701442663488308e+01 3.073323724998591468e+07
2.455182019728883347e+01 6.965173381023378670e+07
3.156662596794278741e+01 1.258884195692138821e+08
3.858143173859674135e+01 1.957844973573910296e+08
4.559623750925069174e+01 2.741764030258325338e+08
5.261104327990464924e+01 3.605086533989350200e+08
5.962584905055859963e+01 4.551688165222179294e+08
6.664065482121255002e+01 5.548170301789847612e+08
7.365546059186651462e+01 6.566156892764620781e+08
8.067026636252046501e+01 7.587497827103575468e+08
8.768507213317441540e+01 8.623566795455181599e+08
9.469987790382836579e+01 9.583556473627895117e+08
1.017146836744823304e+02 1.034519271063078880e+09
1.087294894451362808e+02 1.084140512359182835e+09
1.157442952157902312e+02 1.112300827665569305e+09
1.227591009864441816e+02 1.130284952334998131e+09
1.297739067570981319e+02 1.147617958675762653e+09
1.367887125277520681e+02 1.170236937275705814e+09
1.438035182984060327e+02 1.198853870705462217e+09
1.508183240690599689e+02 1.225799713342519283e+09
1.578331298397139335e+02 1.245635980743601561e+09
1.648479356103678981e+02 1.249367216589323282e+09
1.718627413810218343e+02 1.232396293155661583e+09
1.788775471516757989e+02 1.190770012136353731e+09
1.858923529223297351e+02 1.123078895382866383e+09
1.929071586929836997e+02 1.029932951724184632e+09
1.999219644636376643e+02 9.232218143981213570e+08
2.069367702342916004e+02 8.112332664520363808e+08
2.139515760049455650e+02 7.056959032450959682e+08
2.209663817755995012e+02 6.109560405417339802e+08
2.279811875462534658e+02 5.265409720435292125e+08
2.349959933169074304e+02 4.491880441016595364e+08
2.420107990875613666e+02 3.767858000899173617e+08
2.490256048582153312e+02 3.109573763979418278e+08
2.560404106288692674e+02 2.520831016464564502e+08
2.630552163995232604e+02 1.998864722573519647e+08
2.700700221701771966e+02 1.537451837784898877e+08
2.770848279408311896e+02 1.126831527294251025e+08
2.840996337114851258e+02 7.823435642006427050e+07
2.911144394821390620e+02 5.102100102012275159e+07
2.981292452527929981e+02 3.184901333999754116e+07
3.051440510234469912e+02 1.895236436997605860e+07
3.121588567941009273e+02 1.102176442999152467e+07
3.191736625647548635e+02 6.226347780000997707e+06
3.261884683354088565e+02 3.381904970001443289e+06
3.332032741060627927e+02 1.782089170000147307e+06
3.402180798767167289e+02 9.952302899998791981e+05
3.472328856473707219e+02 4.975640099999931990e+05
3.542476914180246581e+02 2.612017900000012596e+05
3.612624971886785943e+02 1.395604800000010582e+05
3.682773029593325305e+02 6.802149000000004889e+04
3.752921087299865235e+02 2.473145000000003347e+04
3.823069145006404597e+02 1.007998000000000320e+04
3.893217202712943958e+02 2.790479999999998654e+03
3.963365260419483889e+02 2.082559999999999491e+03
4.033513318126023250e+02 1.705200000000000045e+03
4.103661375832562612e+02 1.079200000000000045e+03
4.173809433539102542e+02 7.058099999999999454e+02
4.243957491245641904e+02 1.561999999999999886e+02
4.314105548952181266e+02 0.000000000000000000e+00
4.384253606658720628e+02 0.000000000000000000e+00
4.454401664365260558e+02 0.000000000000000000e+00
4.524549722071799920e+02 0.000000000000000000e+00
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
