# 	r			Protein
0.000000000000000000e+00 1.302730290000021691e+06
1.052220865598092914e+01 8.985427769997932017e+06
1.753701442663488308e+01 2.384816435998483002e+07
2.455182019728883347e+01 4.507727164996083081e+07
3.156662596794278741e+01 7.194638285982397199e+07
3.858143173859674135e+01 1.041433695691723824e+08
4.559623750925069174e+01 1.404383427787403762e+08
5.261104327990464924e+01 1.797808739293397069e+08
5.962584905055859963e+01 2.197435770499173999e+08
6.664065482121255002e+01 2.581770228005729914e+08
7.365546059186651462e+01 2.935347749214295745e+08
8.067026636252046501e+01 3.242737529322861433e+08
8.768507213317441540e+01 3.500548310531713963e+08
9.469987790382836579e+01 3.681941839337973595e+08
1.017146836744823304e+02 3.811020136438102126e+08
1.087294894451362808e+02 3.919804228739702106e+08
1.157442952157902312e+02 4.023255039941744208e+08
1.227591009864441816e+02 4.137358672343450785e+08
1.297739067570981319e+02 4.258815609943459034e+08
1.367887125277520681e+02 4.416789802148956060e+08
1.438035182984060327e+02 4.622985377952795029e+08
1.508183240690599689e+02 4.874064504760964513e+08
1.578331298397139335e+02 5.154238819870430231e+08
1.648479356103678981e+02 5.434464063299373388e+08
1.718627413810218343e+02 5.683095485558652878e+08
1.788775471516757989e+02 5.853289227988194227e+08
1.858923529223297351e+02 5.908029065107113123e+08
1.929071586929836997e+02 5.829173018786625862e+08
1.999219644636376643e+02 5.615082451650818586e+08
2.069367702342916004e+02 5.254339120981092453e+08
2.139515760049455650e+02 4.793847740164416432e+08
2.209663817755995012e+02 4.267000639949347973e+08
2.279811875462534658e+02 3.710063178133471012e+08
2.349959933169074304e+02 3.152401405420365930e+08
2.420107990875613666e+02 2.625988893813527524e+08
2.490256048582153312e+02 2.130680140802382231e+08
2.560404106288692674e+02 1.688746177193832994e+08
2.630552163995232604e+02 1.308224339387082458e+08
2.700700221701771966e+02 9.930047936931262910e+07
2.770848279408311896e+02 7.397643665977516770e+07
2.840996337114851258e+02 5.410115889991493523e+07
2.911144394821390620e+02 3.880462804995306581e+07
2.981292452527929981e+02 2.722142406997067109e+07
3.051440510234469912e+02 1.865724811997958273e+07
3.121588567941009273e+02 1.245743038999127224e+07
3.191736625647548635e+02 8.228314819999827072e+06
3.261884683354088565e+02 5.335191570001464337e+06
3.332032741060627927e+02 3.351692370001444127e+06
3.402180798767167289e+02 2.086544480000524782e+06
3.472328856473707219e+02 1.272561420000031125e+06
3.542476914180246581e+02 7.774131799999325303e+05
3.612624971886785943e+02 4.446769199999961420e+05
3.682773029593325305e+02 2.611464299999974610e+05
3.752921087299865235e+02 1.446576800000003132e+05
3.823069145006404597e+02 8.060339000000043598e+04
3.893217202712943958e+02 4.343901000000008935e+04
3.963365260419483889e+02 2.180448000000003231e+04
4.033513318126023250e+02 8.281530000000000655e+03
4.103661375832562612e+02 2.922059999999998581e+03
4.173809433539102542e+02 1.677749999999999545e+03
4.243957491245641904e+02 1.064179999999999836e+03
4.314105548952181266e+02 9.951400000000001000e+02
4.384253606658720628e+02 6.136999999999999318e+02
4.454401664365260558e+02 8.199699999999999136e+02
4.524549722071799920e+02 3.546000000000000227e+02
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
