# 	r			Protein
0.000000000000000000e+00 1.325135800000050804e+06
1.052220865598092914e+01 8.894562509997004643e+06
1.753701442663488308e+01 2.329719071000786871e+07
2.455182019728883347e+01 4.362089000999065489e+07
3.156662596794278741e+01 6.877181578992445767e+07
3.858143173859674135e+01 9.792419518923448026e+07
4.559623750925069174e+01 1.299783267885847688e+08
5.261104327990464924e+01 1.636944383991042674e+08
5.962584905055859963e+01 1.993551923597600758e+08
6.664065482121255002e+01 2.373464260205565989e+08
7.365546059186651462e+01 2.773364490712937117e+08
8.067026636252046501e+01 3.167143348823621273e+08
8.768507213317441540e+01 3.558462423032300472e+08
9.469987790382836579e+01 3.929075644841685891e+08
1.017146836744823304e+02 4.279425039753200412e+08
1.087294894451362808e+02 4.634632353064461946e+08
1.157442952157902312e+02 4.984097071378923059e+08
1.227591009864441816e+02 5.308244071089499593e+08
1.297739067570981319e+02 5.591193153639681339e+08
1.367887125277520681e+02 5.839306526989502907e+08
1.438035182984060327e+02 6.038902723339027166e+08
1.508183240690599689e+02 6.179358190265471935e+08
1.578331298397139335e+02 6.232650166678003073e+08
1.648479356103678981e+02 6.200303002169275284e+08
1.718627413810218343e+02 6.081219607141227722e+08
1.788775471516757989e+02 5.886159068293906450e+08
1.858923529223297351e+02 5.607265251632785797e+08
1.929071586929836997e+02 5.235843527067230344e+08
1.999219644636376643e+02 4.787197492959120870e+08
2.069367702342916004e+02 4.295271696146326065e+08
2.139515760049455650e+02 3.792120717235167623e+08
2.209663817755995012e+02 3.299678093228904009e+08
2.279811875462534658e+02 2.811358316416335702e+08
2.349959933169074304e+02 2.341996554609199166e+08
2.420107990875613666e+02 1.896653967199380696e+08
2.490256048582153312e+02 1.498596941590112746e+08
2.560404106288692674e+02 1.150140306290237904e+08
2.630552163995232604e+02 8.586143652953585982e+07
2.700700221701771966e+02 6.181223348987939209e+07
2.770848279408311896e+02 4.345671556994720548e+07
2.840996337114851258e+02 2.962172308997118101e+07
2.911144394821390620e+02 1.952377001997769997e+07
2.981292452527929981e+02 1.230727111999218352e+07
3.051440510234469912e+02 7.478801739999947138e+06
3.121588567941009273e+02 4.238679760001740418e+06
3.191736625647548635e+02 2.421319870000723749e+06
3.261884683354088565e+02 1.254416029999973252e+06
3.332032741060627927e+02 6.388824399999688612e+05
3.402180798767167289e+02 2.948080699999986100e+05
3.472328856473707219e+02 1.483981400000013818e+05
3.542476914180246581e+02 6.919477000000012049e+04
3.612624971886785943e+02 2.940839000000000306e+04
3.682773029593325305e+02 1.384852000000000953e+04
3.752921087299865235e+02 7.000920000000000982e+03
3.823069145006404597e+02 3.480629999999998745e+03
3.893217202712943958e+02 2.668889999999998963e+03
3.963365260419483889e+02 1.238389999999999873e+03
4.033513318126023250e+02 5.557400000000000091e+02
4.103661375832562612e+02 0.000000000000000000e+00
4.173809433539102542e+02 0.000000000000000000e+00
4.243957491245641904e+02 0.000000000000000000e+00
4.314105548952181266e+02 0.000000000000000000e+00
4.384253606658720628e+02 0.000000000000000000e+00
4.454401664365260558e+02 0.000000000000000000e+00
4.524549722071799920e+02 0.000000000000000000e+00
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
