# 	r			Protein
0.000000000000000000e+00 4.068405020001975819e+06
1.052220865598092914e+01 2.645208160997693613e+07
1.753701442663488308e+01 6.321051662034852058e+07
2.455182019728883347e+01 1.053912615198008567e+08
3.156662596794278741e+01 1.467296634792354703e+08
3.858143173859674135e+01 1.938509192876775861e+08
4.559623750925069174e+01 2.584582480158390999e+08
5.261104327990464924e+01 3.460670478764753938e+08
5.962584905055859963e+01 4.495865568893877864e+08
6.664065482121255002e+01 5.607259183288959265e+08
7.365546059186651462e+01 6.726769583075623512e+08
8.067026636252046501e+01 7.948392557294523716e+08
8.768507213317441540e+01 9.209562850021207333e+08
9.469987790382836579e+01 1.037453907971569300e+09
1.017146836744823304e+02 1.134099974793912888e+09
1.087294894451362808e+02 1.211566970470538855e+09
1.157442952157902312e+02 1.273495365544410706e+09
1.227591009864441816e+02 1.321485900690580606e+09
1.297739067570981319e+02 1.356015994961157322e+09
1.367887125277520681e+02 1.373812575579613447e+09
1.438035182984060327e+02 1.377196925694099665e+09
1.508183240690599689e+02 1.368453231347162485e+09
1.578331298397139335e+02 1.338420202771749973e+09
1.648479356103678981e+02 1.276834935568689585e+09
1.718627413810218343e+02 1.186150392473634958e+09
1.788775471516757989e+02 1.083149682591226816e+09
1.858923529223297351e+02 9.777747253849416971e+08
1.929071586929836997e+02 8.692653337277406454e+08
1.999219644636376643e+02 7.585855775382236242e+08
2.069367702342916004e+02 6.506917159405555725e+08
2.139515760049455650e+02 5.507317927379422188e+08
2.209663817755995012e+02 4.629624828324109316e+08
2.279811875462534658e+02 3.838591860619996786e+08
2.349959933169074304e+02 3.102966855996034741e+08
2.420107990875613666e+02 2.442200493082612455e+08
2.490256048582153312e+02 1.878149656488421559e+08
2.560404106288692674e+02 1.423480742690233886e+08
2.630552163995232604e+02 1.077118627493806332e+08
2.700700221701771966e+02 8.134146662989570200e+07
2.770848279408311896e+02 6.152763789009758085e+07
2.840996337114851258e+02 4.638173498001383990e+07
2.911144394821390620e+02 3.499950053998078406e+07
2.981292452527929981e+02 2.677000926997734979e+07
3.051440510234469912e+02 2.080015323997944221e+07
3.121588567941009273e+02 1.656676481997943670e+07
3.191736625647548635e+02 1.367017983998537622e+07
3.261884683354088565e+02 1.165923524999164790e+07
3.332032741060627927e+02 1.057789719999403879e+07
3.402180798767167289e+02 9.952735009995663539e+06
3.472328856473707219e+02 9.767147089996136725e+06
3.542476914180246581e+02 1.005919568999493681e+07
3.612624971886785943e+02 1.093866672999278456e+07
3.682773029593325305e+02 1.198380404999019951e+07
3.752921087299865235e+02 1.310606398998807184e+07
3.823069145006404597e+02 1.455220301998392865e+07
3.893217202712943958e+02 1.601856567998069152e+07
3.963365260419483889e+02 1.731046858997859806e+07
4.033513318126023250e+02 1.855213214998017251e+07
4.103661375832562612e+02 1.961298298997993022e+07
4.173809433539102542e+02 1.985877921998018771e+07
4.243957491245641904e+02 1.902456730997955054e+07
4.314105548952181266e+02 1.720354606997751445e+07
4.384253606658720628e+02 1.485255188998140953e+07
4.454401664365260558e+02 1.264203652998800762e+07
4.524549722071799920e+02 1.054953266999376565e+07
4.594697779778339282e+02 8.570751879998914897e+06
4.664845837484879212e+02 6.647662310000512749e+06
4.734993895191418574e+02 4.864369700001589023e+06
4.805141952897957935e+02 3.352351040001357440e+06
4.875290010604497297e+02 2.158866390000340529e+06
4.945438068311037227e+02 1.279470429999968270e+06
5.015586126017576589e+02 6.846913199999552453e+05
5.085734183724115951e+02 3.449245500000015600e+05
5.155882241430655313e+02 1.782421900000003807e+05
5.226030299137195243e+02 9.385354000000029919e+04
5.296178356843735173e+02 4.862735000000004948e+04
5.366326414550273967e+02 2.245612000000002809e+04
5.436474472256813897e+02 1.057817000000000189e+04
5.506622529963353827e+02 1.452819999999999936e+03
5.576770587669892620e+02 9.150900000000000318e+02
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
