# 	r			Protein
0.000000000000000000e+00 2.907670680000935681e+06
1.052220865598092914e+01 1.999585424997417256e+07
1.753701442663488308e+01 5.319238301019169390e+07
2.455182019728883347e+01 1.009257382698975205e+08
3.156662596794278741e+01 1.596196458784775138e+08
3.858143173859674135e+01 2.269253133857481480e+08
4.559623750925069174e+01 3.017236066150680184e+08
5.261104327990464924e+01 3.835296778272217512e+08
5.962584905055859963e+01 4.704643750795714855e+08
6.664065482121255002e+01 5.637565730094254017e+08
7.365546059186651462e+01 6.567912186747267246e+08
8.067026636252046501e+01 7.429027672465947866e+08
8.768507213317441540e+01 8.197308665567033291e+08
9.469987790382836579e+01 8.913005113043411970e+08
1.017146836744823304e+02 9.588787020703456402e+08
1.087294894451362808e+02 1.014305269301312089e+09
1.157442952157902312e+02 1.056610159721529961e+09
1.227591009864441816e+02 1.080485048061968565e+09
1.297739067570981319e+02 1.087268808937548161e+09
1.367887125277520681e+02 1.078261558252388954e+09
1.438035182984060327e+02 1.063082342412465096e+09
1.508183240690599689e+02 1.045348148728479624e+09
1.578331298397139335e+02 1.025011102164929986e+09
1.648479356103678981e+02 9.958692766084021330e+08
1.718627413810218343e+02 9.530286997874253988e+08
1.788775471516757989e+02 8.958496743133623600e+08
1.858923529223297351e+02 8.314759090762960911e+08
1.929071586929836997e+02 7.647201574794350863e+08
1.999219644636376643e+02 7.009616877855081558e+08
2.069367702342916004e+02 6.467848523121118546e+08
2.139515760049455650e+02 6.064561548919085264e+08
2.209663817755995012e+02 5.784429927946512699e+08
2.279811875462534658e+02 5.601940543693891764e+08
2.349959933169074304e+02 5.433054787753193378e+08
2.420107990875613666e+02 5.213372285731136203e+08
2.490256048582153312e+02 4.898125095331256390e+08
2.560404106288692674e+02 4.491779269919186234e+08
2.630552163995232604e+02 4.038396259210484624e+08
2.700700221701771966e+02 3.573698080512291193e+08
2.770848279408311896e+02 3.136646780396809578e+08
2.840996337114851258e+02 2.736857224384409189e+08
2.911144394821390620e+02 2.374925081583814621e+08
2.981292452527929981e+02 2.069035142582852244e+08
3.051440510234469912e+02 1.793307355482873917e+08
3.121588567941009273e+02 1.555486966189894378e+08
3.191736625647548635e+02 1.345136251190633178e+08
3.261884683354088565e+02 1.149188450694462359e+08
3.332032741060627927e+02 9.659525485974396765e+07
3.402180798767167289e+02 7.986343751003426313e+07
3.472328856473707219e+02 6.434137566019988060e+07
3.542476914180246581e+02 5.028644484008680284e+07
3.612624971886785943e+02 3.770119115002295375e+07
3.682773029593325305e+02 2.729643108997808769e+07
3.752921087299865235e+02 1.897689121997454762e+07
3.823069145006404597e+02 1.270323975998761691e+07
3.893217202712943958e+02 8.280498739999432117e+06
3.963365260419483889e+02 5.271471370001403615e+06
4.033513318126023250e+02 3.410575980001364835e+06
4.103661375832562612e+02 1.908597670000227634e+06
4.173809433539102542e+02 9.249414899998939363e+05
4.243957491245641904e+02 3.946797500000015134e+05
4.314105548952181266e+02 1.757140500000007742e+05
4.384253606658720628e+02 7.730496000000012282e+04
4.454401664365260558e+02 2.407110000000002401e+04
4.524549722071799920e+02 9.033830000000003565e+03
4.594697779778339282e+02 3.946599999999998090e+03
4.664845837484879212e+02 2.080639999999999873e+03
4.734993895191418574e+02 8.899099999999999682e+02
4.805141952897957935e+02 3.414499999999999886e+02
4.875290010604497297e+02 2.843999999999999773e+02
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
