# 	r			Protein
0.000000000000000000e+00 4.055544700000032317e+05
1.052220865598092914e+01 2.900410970000967383e+06
1.753701442663488308e+01 8.190363890000361018e+06
2.455182019728883347e+01 1.693456583996856585e+07
3.156662596794278741e+01 3.007974748998696357e+07
3.858143173859674135e+01 4.899403453020717949e+07
4.559623750925069174e+01 7.394562640028123558e+07
5.261104327990464924e+01 1.049558775198544115e+08
5.962584905055859963e+01 1.442278705489420295e+08
6.664065482121255002e+01 1.932689517166857719e+08
7.365546059186651462e+01 2.549539414337410331e+08
8.067026636252046501e+01 3.293724326447831392e+08
8.768507213317441540e+01 4.125454242069318295e+08
9.469987790382836579e+01 4.982583725989313722e+08
1.017146836744823304e+02 5.768872665915801525e+08
1.087294894451362808e+02 6.452161623416202068e+08
1.157442952157902312e+02 6.967924442368260622e+08
1.227591009864441816e+02 7.305374782967480421e+08
1.297739067570981319e+02 7.451739772604457140e+08
1.367887125277520681e+02 7.366300162879973650e+08
1.438035182984060327e+02 7.043295752378578186e+08
1.508183240690599689e+02 6.546149292835694551e+08
1.578331298397139335e+02 5.956661362965186834e+08
1.648479356103678981e+02 5.354124621998690963e+08
1.718627413810218343e+02 4.811044268787032962e+08
1.788775471516757989e+02 4.373022344679231048e+08
1.858923529223297351e+02 4.038031824071990252e+08
1.929071586929836997e+02 3.766592394163981676e+08
1.999219644636376643e+02 3.559934855556399226e+08
2.069367702342916004e+02 3.404915681253604889e+08
2.139515760049455650e+02 3.297679952050241828e+08
2.209663817755995012e+02 3.237514434048453569e+08
2.279811875462534658e+02 3.164919957545990348e+08
2.349959933169074304e+02 3.047968441943876743e+08
2.420107990875613666e+02 2.894233267038648725e+08
2.490256048582153312e+02 2.717452380734964609e+08
2.560404106288692674e+02 2.502780988040595353e+08
2.630552163995232604e+02 2.247678944053069651e+08
2.700700221701771966e+02 1.931768789067142010e+08
2.770848279408311896e+02 1.574105523983151615e+08
2.840996337114851258e+02 1.201650237495902479e+08
2.911144394821390620e+02 8.632834146010075510e+07
2.981292452527929981e+02 5.776432021026873589e+07
3.051440510234469912e+02 3.586300079001893848e+07
3.121588567941009273e+02 2.067515551997665316e+07
3.191736625647548635e+02 1.131237523998949118e+07
3.261884683354088565e+02 6.071816150000726804e+06
3.332032741060627927e+02 3.337752440001314972e+06
3.402180798767167289e+02 1.887277000000134809e+06
3.472328856473707219e+02 1.003958179999868385e+06
3.542476914180246581e+02 5.286242799999954877e+05
3.612624971886785943e+02 2.522874600000056089e+05
3.682773029593325305e+02 1.014195999999999622e+05
3.752921087299865235e+02 3.388379999999995925e+04
3.823069145006404597e+02 6.354500000000000909e+03
3.893217202712943958e+02 7.829000000000000909e+02
3.963365260419483889e+02 0.000000000000000000e+00
4.033513318126023250e+02 0.000000000000000000e+00
4.103661375832562612e+02 0.000000000000000000e+00
4.173809433539102542e+02 0.000000000000000000e+00
4.243957491245641904e+02 0.000000000000000000e+00
4.314105548952181266e+02 0.000000000000000000e+00
4.384253606658720628e+02 0.000000000000000000e+00
4.454401664365260558e+02 0.000000000000000000e+00
4.524549722071799920e+02 0.000000000000000000e+00
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
