# 	r			Protein
0.000000000000000000e+00 2.370719850000457373e+06
1.052220865598092914e+01 1.607998850997556373e+07
1.753701442663488308e+01 4.190357607007401437e+07
2.455182019728883347e+01 7.842465459011888504e+07
3.156662596794278741e+01 1.267465346593973041e+08
3.858143173859674135e+01 1.876182649575698376e+08
4.559623750925069174e+01 2.587702760064855516e+08
5.261104327990464924e+01 3.363375144679902196e+08
5.962584905055859963e+01 4.205220082597275376e+08
6.664065482121255002e+01 5.126464567424684167e+08
7.365546059186651462e+01 6.124792689923403263e+08
8.067026636252046501e+01 7.213539221601810455e+08
8.768507213317441540e+01 8.309606952487717867e+08
9.469987790382836579e+01 9.363025821059286594e+08
1.017146836744823304e+02 1.033736291401403666e+09
1.087294894451362808e+02 1.120620981818780184e+09
1.157442952157902312e+02 1.191679754605739117e+09
1.227591009864441816e+02 1.238742668344443560e+09
1.297739067570981319e+02 1.258444540088078022e+09
1.367887125277520681e+02 1.254120007667663336e+09
1.438035182984060327e+02 1.227945467959865332e+09
1.508183240690599689e+02 1.184835583649192333e+09
1.578331298397139335e+02 1.129149600044917822e+09
1.648479356103678981e+02 1.064031674606585026e+09
1.718627413810218343e+02 9.915313510889449120e+08
1.788775471516757989e+02 9.162736712693839073e+08
1.858923529223297351e+02 8.379993088707487583e+08
1.929071586929836997e+02 7.576671634808921814e+08
1.999219644636376643e+02 6.763364728110910654e+08
2.069367702342916004e+02 5.985797813505470753e+08
2.139515760049455650e+02 5.255781877141072154e+08
2.209663817755995012e+02 4.561442378412497044e+08
2.279811875462534658e+02 3.939055214187299609e+08
2.349959933169074304e+02 3.395158520676566958e+08
2.420107990875613666e+02 2.913923542968528867e+08
2.490256048582153312e+02 2.501812767773424387e+08
2.560404106288692674e+02 2.144876680579023659e+08
2.630552163995232604e+02 1.851033744184176028e+08
2.700700221701771966e+02 1.604351916486974359e+08
2.770848279408311896e+02 1.406716596790058613e+08
2.840996337114851258e+02 1.249423277191371620e+08
2.911144394821390620e+02 1.127369226892949492e+08
2.981292452527929981e+02 1.035797535694229752e+08
3.051440510234469912e+02 9.625888752952353656e+07
3.121588567941009273e+02 8.980240746966931224e+07
3.191736625647548635e+02 8.350264865978220105e+07
3.261884683354088565e+02 7.765717287987829745e+07
3.332032741060627927e+02 7.210689732996976376e+07
3.402180798767167289e+02 6.722230930005723238e+07
3.472328856473707219e+02 6.349800551006296277e+07
3.542476914180246581e+02 6.055312927006192505e+07
3.612624971886785943e+02 5.903832816005939990e+07
3.682773029593325305e+02 5.849322066006339341e+07
3.752921087299865235e+02 5.959302192007755488e+07
3.823069145006404597e+02 6.168554382010045648e+07
3.893217202712943958e+02 6.522472018012930453e+07
3.963365260419483889e+02 7.021223032008722425e+07
4.033513318126023250e+02 7.554464472000968456e+07
4.103661375832562612e+02 7.735204467998565733e+07
4.173809433539102542e+02 7.788029962997867167e+07
4.243957491245641904e+02 7.744398784999784827e+07
4.314105548952181266e+02 7.694062872002115846e+07
4.384253606658720628e+02 7.572586879005810618e+07
4.454401664365260558e+02 7.389306460007873178e+07
4.524549722071799920e+02 7.121776208011400700e+07
4.594697779778339282e+02 6.864784725014317036e+07
4.664845837484879212e+02 6.645814003016731888e+07
4.734993895191418574e+02 6.310527869013960660e+07
4.805141952897957935e+02 5.935638798011828959e+07
4.875290010604497297e+02 5.505120367010428756e+07
4.945438068311037227e+02 5.034675082008463144e+07
5.015586126017576589e+02 4.552721204005267471e+07
5.085734183724115951e+02 4.071162634003464878e+07
5.155882241430655313e+02 3.612828835000118613e+07
5.226030299137195243e+02 3.194065410999125615e+07
5.296178356843735173e+02 2.770389287998535857e+07
5.366326414550273967e+02 2.385741697998258471e+07
5.436474472256813897e+02 2.023284262997977808e+07
5.506622529963353827e+02 1.694214227997769788e+07
5.576770587669892620e+02 1.394250041998468712e+07
5.646918645376432551e+02 1.161672056999146380e+07
5.717066703082972481e+02 9.481713009996488690e+06
5.787214760789511274e+02 7.615305780000093393e+06
5.857362818496051204e+02 6.032933990000953898e+06
5.927510876202589998e+02 4.732930910001673736e+06
5.997658933909129928e+02 3.648106150001457427e+06
6.067806991615669858e+02 2.743262060000752099e+06
6.137955049322208652e+02 1.965393660000290722e+06
6.208103107028748582e+02 1.408796060000067810e+06
6.278251164735288512e+02 1.019521899999880348e+06
6.348399222441827305e+02 7.750204099999363534e+05
6.418547280148367236e+02 5.496764399999944726e+05
6.488695337854907166e+02 3.483285499999984168e+05
6.558843395561445959e+02 1.886758099999992701e+05
6.628991453267985889e+02 9.526057000000042899e+04
6.699139510974525820e+02 3.483371000000001368e+04
6.769287568681064613e+02 8.807750000000001819e+03
6.839435626387604543e+02 9.250500000000000682e+02
6.909583684094144473e+02 7.107999999999999829e+01
7.014805770653953232e+02 0.000000000000000000e+00
