# 	r			Protein
0.000000000000000000e+00 7.521331399999456480e+05
1.052220865598092914e+01 5.348395560001108795e+06
1.753701442663488308e+01 1.431182939998739399e+07
2.455182019728883347e+01 2.799579005998433381e+07
3.156662596794278741e+01 4.710583695995833725e+07
3.858143173859674135e+01 7.215813819982266426e+07
4.559623750925069174e+01 1.039807940091714263e+08
5.261104327990464924e+01 1.425653915587474704e+08
5.962584905055859963e+01 1.844920926892005503e+08
6.664065482121255002e+01 2.271209347300374210e+08
7.365546059186651462e+01 2.701326475808109045e+08
8.067026636252046501e+01 3.128084027716792226e+08
8.768507213317441540e+01 3.540849235530623198e+08
9.469987790382836579e+01 3.924675766438688040e+08
1.017146836744823304e+02 4.292762121350979805e+08
1.087294894451362808e+02 4.618915353952882886e+08
1.157442952157902312e+02 4.920399147960137129e+08
1.227591009864441816e+02 5.222799474267083406e+08
1.297739067570981319e+02 5.506758409103657007e+08
1.367887125277520681e+02 5.734370333657355309e+08
1.438035182984060327e+02 5.920974655600384474e+08
1.508183240690599689e+02 6.039249735030927658e+08
1.578331298397139335e+02 6.114513622948639393e+08
1.648479356103678981e+02 6.129777838056198359e+08
1.718627413810218343e+02 6.088141555446009636e+08
1.788775471516757989e+02 5.952585583613839149e+08
1.858923529223297351e+02 5.736293570967195034e+08
1.929071586929836997e+02 5.424145547898205519e+08
1.999219644636376643e+02 5.032048196271883845e+08
2.069367702342916004e+02 4.550008035460428596e+08
2.139515760049455650e+02 4.008371499342378378e+08
2.209663817755995012e+02 3.437858773128550053e+08
2.279811875462534658e+02 2.888965961217933893e+08
2.349959933169074304e+02 2.397924353709075451e+08
2.420107990875613666e+02 1.962810857398340702e+08
2.490256048582153312e+02 1.587233366890613437e+08
2.560404106288692674e+02 1.263965317487618923e+08
2.630552163995232604e+02 9.859522333929416537e+07
2.700700221701771966e+02 7.564973273973408341e+07
2.770848279408311896e+02 5.634135347990911454e+07
2.840996337114851258e+02 4.076200815994947404e+07
2.911144394821390620e+02 2.792519392997786403e+07
2.981292452527929981e+02 1.824917665998309851e+07
3.051440510234469912e+02 1.143283202999302931e+07
3.121588567941009273e+02 6.907359910000332631e+06
3.191736625647548635e+02 4.060359410001859069e+06
3.261884683354088565e+02 2.276971340000597294e+06
3.332032741060627927e+02 1.213481159999948228e+06
3.402180798767167289e+02 7.096227799999522977e+05
3.472328856473707219e+02 3.777473999999969383e+05
3.542476914180246581e+02 2.155726299999999173e+05
3.612624971886785943e+02 1.238885400000007940e+05
3.682773029593325305e+02 6.419312000000001717e+04
3.752921087299865235e+02 2.446625000000003638e+04
3.823069145006404597e+02 1.007998000000000320e+04
3.893217202712943958e+02 2.790479999999998654e+03
3.963365260419483889e+02 2.082559999999999491e+03
4.033513318126023250e+02 1.705200000000000045e+03
4.103661375832562612e+02 1.079200000000000045e+03
4.173809433539102542e+02 7.058099999999999454e+02
4.243957491245641904e+02 1.561999999999999886e+02
4.314105548952181266e+02 0.000000000000000000e+00
4.384253606658720628e+02 0.000000000000000000e+00
4.454401664365260558e+02 0.000000000000000000e+00
4.524549722071799920e+02 0.000000000000000000e+00
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
